|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9623883. 
Timer_missed : 1
Timer_missed : 2

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395457255254870-End@1726395457286601624-Cost:31346754(ns) and Received msg: 27]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395457246833488-End@1726395457305084419-Cost:58250931(ns) and Published msg: 26]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395457305340682-End@1726395457353292119-Cost:47951437(ns) and Route msg: 26]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395457353632275-End@1726395457367156610-Cost:13524335(ns) and Received msg: 26]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395457340855549-End@1726395457390921209-Cost:50065660(ns) and Published msg: 28]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395457391148566-End@1726395457441290262-Cost:50141696(ns) and Route msg: 28]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395457441736932-End@1726395457454947866-Cost:13210934(ns) and Received msg: 28]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395457409000680-End@1726395457462467215-Cost:53466535(ns) and Published msg: 27]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395457462754450-End@1726395457494686728-Cost:31932278(ns) and Route msg: 27]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395457495047312-End@1726395457502645599-Cost:7598287(ns) and Received msg: 27]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395457479405800-End@1726395457503943396-Cost:24537596(ns) and Published msg: 29]. 

